filename,risk_level,study_type,region,country
da-silva-et-al-2022-two-years-into-the-covid-19-pandemic-lessons-learned.txt,high,modeling,south america,brazil
div-class-title-the-consequences-of-the-covid-19-pandemic-on-mental-health-and-implications-for-clinical-practice-div.txt,high,other,europe,france
fcimb-11-596201.txt,high,modeling,asia,china
foods9040523 -- b13c7b6c9eb5d3c5dbdc5a9e9ebe0edb -- Anna’s Archive.txt,high,modeling,asia,china
graa036.txt,high,modeling,global,pakistan
hcaa110.txt,high,other,asia,china
j-phrp-2021-0100.txt,high,modeling,asia,india
j_coi_2021_07_003 -- 5f87e346ddff9b197f91a65aa37efb42 -- Anna’s Archive.txt,high,diagnostic,africa,south africa
j_tmaid_2020_101607 -- 0c7d9d815a534e1b91a312ddd9770650 -- Anna’s Archive.txt,high,other,asia,china
jama_2020_5788 -- 1b85190fe6da83baabf4c9219c6eac03 -- Anna’s Archive.txt,high,modeling,asia,china
jech-2020-214401 -- 17ffad0beb7b35822d08439c1e3e3172 -- Anna’s Archive.txt,high,other,europe,spain
journal.pone.0263001.txt,high,modeling,europe,italy
le-grange-2020-could-the-covid-19-pandemic-accelerate-the-uberfication-of-the-university.txt,high,modeling,africa,south africa
main.txt,high,modeling,asia,china
main10.txt,high,modeling,asia,china
main11.txt,high,modeling,global,netherlands
main12.txt,high,modeling,europe,italy
main13.txt,high,other,asia,china
main14.txt,high,other,asia,china
main2.txt,high,modeling,north america,united states
main3.txt,high,modeling,asia,china
main4.txt,high,modeling,asia,china
main5.txt,medium,other,global,singapore
main6.txt,high,modeling,asia,india
main7.txt,medium,vaccine,asia,india
main8.txt,high,modeling,asia,india
mental_health_and_the_covid19_pandemic.txt,high,modeling,global,ireland
meta_0.txt,high,other,global,saudi arabia
meta_1.txt,low,modeling,global,global
meta_10.txt,low,other,global,global
meta_100.txt,low,other,global,global
meta_101.txt,low,other,global,global
meta_102.txt,low,diagnostic,global,global
meta_103.txt,low,vaccine,global,global
meta_104.txt,low,other,global,global
meta_105.txt,high,modeling,global,global
meta_106.txt,low,modeling,global,global
meta_107.txt,medium,modeling,global,global
meta_108.txt,medium,other,global,global
meta_109.txt,medium,other,global,global
meta_11.txt,low,other,global,global
meta_110.txt,medium,other,global,global
meta_111.txt,high,modeling,global,global
meta_112.txt,low,modeling,global,global
meta_113.txt,low,other,global,global
meta_114.txt,medium,vaccine,global,global
meta_115.txt,low,diagnostic,global,global
meta_116.txt,low,other,global,global
meta_117.txt,low,other,global,global
meta_118.txt,high,other,global,global
meta_119.txt,low,other,global,global
meta_12.txt,high,other,global,global
meta_120.txt,low,vaccine,global,global
meta_121.txt,high,modeling,global,global
meta_122.txt,low,other,global,global
meta_123.txt,low,other,global,global
meta_124.txt,low,modeling,global,global
meta_125.txt,low,other,global,global
meta_126.txt,high,modeling,global,global
meta_127.txt,high,other,global,global
meta_128.txt,high,other,global,global
meta_129.txt,high,other,global,global
meta_13.txt,medium,other,global,global
meta_130.txt,medium,other,global,global
meta_131.txt,high,other,global,global
meta_132.txt,high,diagnostic,global,global
meta_133.txt,medium,other,global,global
meta_134.txt,low,modeling,global,global
meta_135.txt,medium,diagnostic,global,global
meta_136.txt,low,modeling,global,global
meta_137.txt,medium,modeling,global,global
meta_138.txt,high,other,global,global
meta_139.txt,low,other,global,global
meta_14.txt,low,other,global,global
meta_140.txt,medium,modeling,south america,brazil
meta_141.txt,low,modeling,global,global
meta_142.txt,high,modeling,global,global
meta_143.txt,low,modeling,global,global
meta_144.txt,medium,other,europe,italy
meta_145.txt,low,vaccine,global,global
meta_146.txt,high,other,global,global
meta_147.txt,low,other,global,global
meta_148.txt,high,modeling,global,global
meta_149.txt,low,diagnostic,global,global
meta_15.txt,medium,diagnostic,global,global
meta_150.txt,medium,modeling,global,global
meta_151.txt,medium,other,global,hong kong
meta_152.txt,low,modeling,global,global
meta_153.txt,low,diagnostic,global,global
meta_154.txt,low,vaccine,global,global
meta_155.txt,medium,modeling,global,global
meta_156.txt,high,modeling,australia,australia
meta_157.txt,high,other,global,global
meta_158.txt,medium,other,global,global
meta_159.txt,medium,modeling,global,global
meta_16.txt,medium,other,global,global
meta_160.txt,high,other,global,global
meta_161.txt,medium,other,global,global
meta_162.txt,medium,other,global,global
meta_163.txt,low,other,global,global
meta_164.txt,medium,other,global,global
meta_165.txt,high,other,north america,canada
meta_166.txt,low,other,global,global
meta_167.txt,high,other,global,global
meta_168.txt,low,modeling,global,global
meta_169.txt,low,modeling,global,global
meta_17.txt,medium,modeling,global,global
meta_170.txt,low,modeling,global,global
meta_171.txt,high,vaccine,global,hong kong
meta_172.txt,medium,other,global,global
meta_173.txt,high,diagnostic,global,global
meta_174.txt,low,other,global,global
meta_175.txt,medium,modeling,north america,canada
meta_176.txt,low,other,global,uganda
meta_177.txt,medium,other,global,indonesia
meta_178.txt,medium,diagnostic,global,global
meta_179.txt,low,other,global,global
meta_18.txt,low,other,global,global
meta_180.txt,low,modeling,global,global
meta_181.txt,high,other,global,global
meta_182.txt,high,other,global,global
meta_183.txt,high,other,global,global
meta_184.txt,medium,other,global,global
meta_185.txt,medium,other,global,global
meta_186.txt,low,other,global,global
meta_187.txt,low,modeling,global,global
meta_188.txt,medium,diagnostic,asia,china
meta_189.txt,low,other,global,global
meta_19.txt,medium,other,global,global
meta_190.txt,low,vaccine,global,global
meta_191.txt,low,other,global,global
meta_192.txt,low,other,global,global
meta_193.txt,medium,other,global,global
meta_194.txt,medium,other,australia,australia
meta_195.txt,medium,other,global,global
meta_196.txt,low,other,global,global
meta_197.txt,low,other,global,global
meta_198.txt,low,diagnostic,global,global
meta_199.txt,low,modeling,global,global
meta_2.txt,low,other,global,global
meta_20.txt,low,other,australia,australia
meta_200.txt,low,diagnostic,global,global
meta_201.txt,medium,modeling,global,global
meta_202.txt,medium,other,global,global
meta_203.txt,high,other,global,global
meta_204.txt,low,vaccine,global,global
meta_205.txt,medium,other,north america,canada
meta_206.txt,high,other,global,global
meta_207.txt,low,other,global,global
meta_208.txt,low,other,australia,australia
meta_209.txt,low,modeling,global,global
meta_21.txt,low,modeling,global,global
meta_210.txt,high,other,global,global
meta_211.txt,high,modeling,global,global
meta_212.txt,medium,other,global,global
meta_213.txt,medium,other,asia,china
meta_214.txt,medium,other,global,global
meta_215.txt,low,other,global,thailand
meta_216.txt,low,other,global,global
meta_217.txt,medium,other,global,global
meta_218.txt,low,other,global,global
meta_219.txt,low,other,global,global
meta_22.txt,low,diagnostic,global,global
meta_220.txt,high,other,asia,india
meta_221.txt,low,modeling,asia,china
meta_222.txt,low,other,global,global
meta_223.txt,low,other,global,global
meta_224.txt,medium,modeling,global,global
meta_225.txt,low,other,global,global
meta_226.txt,low,diagnostic,global,global
meta_227.txt,medium,vaccine,global,global
meta_228.txt,medium,other,global,global
meta_229.txt,medium,other,global,netherlands
meta_23.txt,low,modeling,global,global
meta_230.txt,medium,other,europe,france
meta_231.txt,low,modeling,global,global
meta_232.txt,low,diagnostic,global,global
meta_233.txt,low,other,global,global
meta_234.txt,low,other,global,global
meta_235.txt,low,other,global,global
meta_236.txt,medium,diagnostic,global,global
meta_237.txt,high,other,global,global
meta_238.txt,medium,modeling,global,global
meta_239.txt,low,other,australia,australia
meta_24.txt,medium,other,global,global
meta_240.txt,medium,other,global,global
meta_241.txt,high,other,europe,spain
meta_242.txt,medium,other,global,global
meta_243.txt,high,other,global,global
meta_244.txt,medium,modeling,global,global
meta_245.txt,high,modeling,global,global
meta_246.txt,medium,other,global,global
meta_247.txt,medium,diagnostic,global,global
meta_248.txt,medium,modeling,global,global
meta_249.txt,high,other,global,global
meta_25.txt,low,modeling,global,global
meta_250.txt,low,modeling,global,global
meta_251.txt,high,diagnostic,global,global
meta_252.txt,high,other,global,global
meta_253.txt,high,vaccine,asia,china
meta_254.txt,low,other,global,global
meta_255.txt,high,other,global,global
meta_256.txt,high,modeling,global,global
meta_257.txt,high,diagnostic,global,global
meta_258.txt,high,vaccine,global,global
meta_259.txt,medium,other,global,global
meta_26.txt,medium,modeling,global,global
meta_260.txt,low,other,global,global
meta_261.txt,high,other,global,global
meta_262.txt,high,other,global,global
meta_263.txt,high,other,global,global
meta_264.txt,low,other,global,global
meta_265.txt,medium,other,global,global
meta_266.txt,medium,other,asia,china
meta_267.txt,high,other,global,global
meta_268.txt,high,modeling,global,global
meta_269.txt,low,modeling,global,global
meta_27.txt,low,modeling,global,global
meta_270.txt,low,other,global,global
meta_271.txt,low,other,global,global
meta_272.txt,medium,other,global,cambodia
meta_273.txt,low,other,global,global
meta_274.txt,high,other,global,global
meta_275.txt,high,other,global,global
meta_276.txt,high,other,global,global
meta_277.txt,medium,vaccine,global,hong kong
meta_278.txt,medium,other,global,global
meta_279.txt,low,other,global,global
meta_28.txt,low,other,global,global
meta_280.txt,medium,other,global,global
meta_281.txt,low,vaccine,global,global
meta_282.txt,low,other,global,global
meta_283.txt,low,modeling,global,global
meta_284.txt,low,modeling,global,global
meta_285.txt,medium,modeling,global,global
meta_286.txt,low,modeling,global,global
meta_287.txt,high,other,global,global
meta_288.txt,medium,other,global,thailand
meta_289.txt,low,modeling,asia,china
meta_29.txt,low,diagnostic,global,global
meta_290.txt,low,diagnostic,global,global
meta_291.txt,medium,other,global,global
meta_292.txt,medium,other,global,global
meta_293.txt,high,other,global,global
meta_294.txt,high,diagnostic,global,global
meta_295.txt,low,diagnostic,global,global
meta_296.txt,low,diagnostic,global,global
meta_297.txt,high,other,global,malaysia
meta_298.txt,medium,other,global,global
meta_299.txt,medium,other,global,poland
meta_3.txt,low,other,global,global
meta_30.txt,low,other,global,global
meta_300.txt,medium,other,global,global
meta_301.txt,low,modeling,europe,france
meta_302.txt,low,diagnostic,global,global
meta_303.txt,high,other,global,global
meta_304.txt,high,diagnostic,north america,mexico
meta_305.txt,low,other,global,global
meta_306.txt,low,other,global,global
meta_307.txt,low,other,global,global
meta_308.txt,low,other,global,global
meta_309.txt,high,other,north america,mexico
meta_31.txt,high,vaccine,australia,australia
meta_310.txt,medium,modeling,global,global
meta_311.txt,medium,modeling,global,global
meta_312.txt,low,modeling,global,global
meta_313.txt,low,other,global,global
meta_314.txt,low,other,global,global
meta_315.txt,low,other,global,global
meta_316.txt,medium,diagnostic,global,global
meta_317.txt,low,other,global,global
meta_318.txt,high,vaccine,global,global
meta_319.txt,medium,modeling,europe,germany
meta_32.txt,low,modeling,global,global
meta_320.txt,low,other,europe,germany
meta_321.txt,low,other,global,global
meta_322.txt,low,other,global,global
meta_323.txt,low,other,global,global
meta_324.txt,medium,modeling,global,global
meta_325.txt,high,modeling,global,global
meta_326.txt,medium,other,global,global
meta_327.txt,high,other,global,global
meta_328.txt,low,other,global,global
meta_329.txt,low,other,global,global
meta_33.txt,low,other,global,global
meta_330.txt,medium,diagnostic,global,global
meta_331.txt,high,modeling,global,global
meta_332.txt,low,other,global,global
meta_333.txt,high,other,global,global
meta_334.txt,low,modeling,global,global
meta_335.txt,medium,other,global,global
meta_336.txt,high,vaccine,global,global
meta_337.txt,low,other,global,global
meta_338.txt,low,other,global,global
meta_339.txt,high,diagnostic,global,global
meta_34.txt,low,other,global,global
meta_340.txt,high,modeling,global,global
meta_341.txt,low,other,global,global
meta_342.txt,medium,other,global,global
meta_343.txt,medium,other,global,global
meta_344.txt,high,modeling,global,global
meta_345.txt,medium,other,global,global
meta_346.txt,high,other,global,global
meta_347.txt,medium,diagnostic,global,finland
meta_348.txt,medium,other,global,global
meta_349.txt,low,modeling,global,global
meta_35.txt,high,modeling,global,global
meta_350.txt,medium,modeling,global,thailand
meta_351.txt,high,modeling,global,global
meta_352.txt,high,diagnostic,global,global
meta_353.txt,medium,other,global,hungary
meta_354.txt,medium,modeling,global,global
meta_355.txt,high,other,global,global
meta_356.txt,high,vaccine,global,global
meta_357.txt,medium,other,asia,india
meta_358.txt,high,other,global,global
meta_359.txt,medium,modeling,europe,germany
meta_36.txt,high,modeling,global,global
meta_360.txt,low,other,global,global
meta_361.txt,low,other,global,global
meta_362.txt,low,diagnostic,global,global
meta_363.txt,high,other,north america,mexico
meta_364.txt,low,other,asia,india
meta_365.txt,high,other,global,global
meta_366.txt,low,modeling,global,global
meta_367.txt,medium,modeling,global,global
meta_368.txt,medium,other,global,global
meta_369.txt,medium,vaccine,global,global
meta_37.txt,low,other,global,global
meta_370.txt,low,other,global,global
meta_371.txt,medium,other,global,global
meta_372.txt,low,vaccine,global,global
meta_373.txt,low,other,global,global
meta_374.txt,high,vaccine,global,global
meta_375.txt,low,modeling,global,global
meta_376.txt,low,other,global,global
meta_377.txt,low,modeling,global,global
meta_378.txt,medium,other,north america,united states
meta_379.txt,medium,vaccine,global,global
meta_38.txt,low,modeling,global,global
meta_380.txt,low,other,asia,china
meta_381.txt,high,modeling,global,global
meta_382.txt,low,other,global,global
meta_383.txt,high,modeling,global,global
meta_384.txt,low,other,global,global
meta_385.txt,low,other,global,global
meta_386.txt,high,vaccine,global,global
meta_387.txt,medium,other,north america,mexico
meta_388.txt,medium,other,global,global
meta_389.txt,high,diagnostic,global,global
meta_39.txt,low,modeling,global,global
meta_390.txt,low,other,global,global
meta_391.txt,high,modeling,global,global
meta_392.txt,high,other,europe,italy
meta_393.txt,medium,modeling,global,global
meta_394.txt,medium,other,global,global
meta_395.txt,medium,other,global,global
meta_396.txt,medium,other,global,global
meta_397.txt,low,vaccine,global,global
meta_398.txt,medium,other,global,global
meta_399.txt,low,other,global,global
meta_4.txt,medium,other,global,global
meta_40.txt,low,modeling,global,global
meta_400.txt,low,other,global,global
meta_401.txt,low,vaccine,global,global
meta_402.txt,high,other,global,global
meta_403.txt,low,other,global,global
meta_404.txt,high,other,global,global
meta_405.txt,high,modeling,global,global
meta_406.txt,medium,modeling,australia,australia
meta_407.txt,medium,diagnostic,global,global
meta_408.txt,medium,other,global,global
meta_409.txt,low,other,global,global
meta_41.txt,medium,diagnostic,global,global
meta_410.txt,high,other,global,global
meta_411.txt,low,other,global,global
meta_412.txt,high,other,global,netherlands
meta_413.txt,medium,other,global,tunisia
meta_414.txt,medium,other,global,global
meta_415.txt,high,other,asia,china
meta_416.txt,medium,modeling,global,global
meta_417.txt,low,other,global,global
meta_418.txt,low,vaccine,global,global
meta_419.txt,high,modeling,global,global
meta_42.txt,low,other,global,global
meta_420.txt,low,other,global,global
meta_421.txt,medium,other,global,global
meta_422.txt,low,vaccine,global,global
meta_423.txt,medium,diagnostic,global,global
meta_424.txt,medium,vaccine,global,global
meta_425.txt,medium,other,global,global
meta_426.txt,low,other,global,global
meta_427.txt,medium,other,global,global
meta_428.txt,medium,modeling,global,global
meta_429.txt,medium,other,global,global
meta_43.txt,medium,other,global,global
meta_430.txt,low,other,global,global
meta_431.txt,low,other,global,global
meta_432.txt,high,diagnostic,global,global
meta_433.txt,high,diagnostic,global,global
meta_434.txt,medium,modeling,global,global
meta_435.txt,low,modeling,global,global
meta_436.txt,high,other,global,global
meta_437.txt,high,modeling,global,global
meta_438.txt,high,other,asia,india
meta_439.txt,low,modeling,global,global
meta_44.txt,low,diagnostic,global,global
meta_440.txt,low,other,global,global
meta_441.txt,medium,modeling,global,global
meta_442.txt,high,diagnostic,global,global
meta_443.txt,high,other,global,global
meta_444.txt,low,modeling,global,hong kong
meta_445.txt,medium,modeling,global,global
meta_446.txt,medium,diagnostic,global,global
meta_447.txt,medium,diagnostic,global,global
meta_448.txt,high,other,global,global
meta_449.txt,medium,other,global,global
meta_45.txt,high,other,asia,china
meta_450.txt,medium,other,europe,france
meta_451.txt,low,other,global,global
meta_452.txt,low,diagnostic,global,global
meta_453.txt,low,modeling,global,global
meta_454.txt,low,modeling,global,global
meta_455.txt,high,other,global,global
meta_456.txt,medium,other,global,global
meta_457.txt,high,modeling,asia,china
meta_458.txt,medium,vaccine,global,hong kong
meta_459.txt,medium,modeling,global,global
meta_46.txt,high,other,global,global
meta_460.txt,medium,modeling,north america,canada
meta_461.txt,high,modeling,global,global
meta_462.txt,high,other,global,global
meta_463.txt,medium,other,global,global
meta_464.txt,low,other,global,global
meta_465.txt,low,other,global,global
meta_466.txt,high,other,global,global
meta_467.txt,low,modeling,global,global
meta_468.txt,medium,modeling,global,global
meta_469.txt,high,other,global,global
meta_47.txt,low,other,global,global
meta_470.txt,high,vaccine,global,global
meta_471.txt,low,modeling,global,global
meta_472.txt,low,other,global,global
meta_473.txt,low,other,global,global
meta_474.txt,medium,modeling,global,global
meta_475.txt,medium,other,global,global
meta_476.txt,low,modeling,global,global
meta_477.txt,low,diagnostic,global,global
meta_478.txt,medium,modeling,global,global
meta_479.txt,low,modeling,global,global
meta_48.txt,high,other,global,global
meta_480.txt,medium,vaccine,global,global
meta_481.txt,low,other,global,global
meta_482.txt,high,other,global,global
meta_483.txt,low,other,global,global
meta_484.txt,medium,other,north america,mexico
meta_485.txt,high,other,global,global
meta_486.txt,high,diagnostic,north america,mexico
meta_487.txt,medium,vaccine,global,global
meta_488.txt,low,other,global,global
meta_489.txt,low,modeling,australia,australia
meta_49.txt,low,other,global,global
meta_490.txt,medium,other,global,global
meta_491.txt,high,other,global,global
meta_492.txt,low,diagnostic,global,global
meta_493.txt,high,other,global,pakistan
meta_494.txt,high,modeling,asia,china
meta_495.txt,high,modeling,global,global
meta_496.txt,low,other,global,global
meta_497.txt,high,other,south america,argentina
meta_498.txt,medium,other,global,global
meta_499.txt,low,diagnostic,global,global
meta_5.txt,low,other,global,global
meta_50.txt,low,modeling,global,global
meta_500.txt,high,diagnostic,global,global
meta_501.txt,low,other,global,global
meta_502.txt,medium,modeling,global,global
meta_503.txt,high,diagnostic,global,global
meta_504.txt,low,other,global,hong kong
meta_505.txt,high,modeling,global,global
meta_506.txt,low,other,global,global
meta_507.txt,low,modeling,global,global
meta_508.txt,medium,other,global,global
meta_509.txt,high,vaccine,global,global
meta_51.txt,low,other,global,global
meta_510.txt,medium,modeling,global,global
meta_511.txt,low,other,global,global
meta_512.txt,high,diagnostic,global,global
meta_513.txt,low,other,global,global
meta_514.txt,low,modeling,global,hong kong
meta_515.txt,high,modeling,global,global
meta_516.txt,medium,other,global,global
meta_517.txt,high,other,global,global
meta_518.txt,high,modeling,global,global
meta_519.txt,low,vaccine,global,global
meta_52.txt,low,other,global,global
meta_520.txt,high,other,global,global
meta_521.txt,high,modeling,north america,mexico
meta_522.txt,high,modeling,global,global
meta_523.txt,low,other,global,global
meta_524.txt,medium,modeling,global,global
meta_525.txt,low,other,global,global
meta_526.txt,medium,vaccine,global,global
meta_527.txt,high,other,global,global
meta_528.txt,high,modeling,asia,china
meta_529.txt,low,other,global,global
meta_53.txt,low,other,global,global
meta_530.txt,low,diagnostic,global,global
meta_531.txt,high,modeling,global,global
meta_532.txt,medium,other,global,global
meta_533.txt,high,other,global,global
meta_534.txt,high,other,global,global
meta_535.txt,low,vaccine,global,global
meta_536.txt,high,modeling,global,global
meta_537.txt,low,modeling,global,global
meta_538.txt,low,modeling,global,global
meta_539.txt,low,modeling,global,global
meta_54.txt,low,other,global,global
meta_540.txt,medium,other,global,global
meta_541.txt,low,other,global,global
meta_542.txt,medium,other,global,global
meta_543.txt,high,modeling,global,global
meta_544.txt,low,other,asia,china
meta_545.txt,low,vaccine,global,global
meta_546.txt,low,other,global,uganda
meta_547.txt,medium,other,global,global
meta_548.txt,medium,other,global,global
meta_549.txt,low,other,global,global
meta_55.txt,low,other,global,global
meta_550.txt,medium,other,global,global
meta_551.txt,medium,modeling,europe,italy
meta_552.txt,low,other,global,global
meta_553.txt,medium,modeling,global,global
meta_554.txt,high,other,global,global
meta_555.txt,low,diagnostic,global,global
meta_556.txt,medium,other,global,global
meta_557.txt,low,other,global,global
meta_558.txt,high,other,global,global
meta_559.txt,low,other,global,global
meta_56.txt,low,other,global,global
meta_560.txt,low,other,global,global
meta_561.txt,high,other,global,global
meta_562.txt,low,other,global,global
meta_563.txt,medium,modeling,global,global
meta_564.txt,low,other,global,global
meta_565.txt,medium,diagnostic,global,poland
meta_566.txt,low,other,global,global
meta_567.txt,medium,other,global,global
meta_568.txt,medium,vaccine,global,georgia
meta_569.txt,medium,other,global,global
meta_57.txt,high,other,global,global
meta_570.txt,low,diagnostic,global,global
meta_571.txt,low,other,global,global
meta_572.txt,medium,diagnostic,north america,canada
meta_573.txt,medium,other,north america,canada
meta_574.txt,medium,other,global,global
meta_575.txt,low,vaccine,global,global
meta_576.txt,medium,modeling,global,global
meta_577.txt,medium,other,global,global
meta_578.txt,medium,other,global,peru
meta_579.txt,high,other,global,global
meta_58.txt,medium,modeling,global,global
meta_580.txt,low,other,global,global
meta_581.txt,low,other,global,global
meta_582.txt,low,modeling,global,global
meta_583.txt,medium,other,global,global
meta_584.txt,medium,diagnostic,global,global
meta_585.txt,low,other,asia,china
meta_586.txt,high,modeling,global,global
meta_587.txt,high,other,global,global
meta_588.txt,low,other,global,global
meta_589.txt,high,other,global,global
meta_59.txt,medium,diagnostic,global,global
meta_590.txt,medium,other,asia,china
meta_591.txt,low,other,global,global
meta_592.txt,low,diagnostic,global,global
meta_593.txt,high,other,global,global
meta_594.txt,low,modeling,global,global
meta_595.txt,low,other,australia,australia
meta_596.txt,medium,diagnostic,global,global
meta_597.txt,low,other,global,global
meta_598.txt,low,modeling,global,global
meta_599.txt,medium,other,global,global
meta_6.txt,high,other,global,global
meta_60.txt,low,other,europe,germany
meta_600.txt,low,other,global,global
meta_601.txt,medium,other,global,global
meta_602.txt,low,diagnostic,global,rwanda
meta_603.txt,high,other,global,global
meta_604.txt,high,other,global,global
meta_605.txt,high,other,global,global
meta_606.txt,low,other,global,global
meta_607.txt,low,other,global,global
meta_608.txt,low,diagnostic,global,global
meta_609.txt,medium,modeling,global,global
meta_61.txt,high,other,global,global
meta_610.txt,medium,other,global,global
meta_611.txt,medium,modeling,global,global
meta_612.txt,low,diagnostic,global,global
meta_613.txt,low,other,global,global
meta_614.txt,low,modeling,global,global
meta_615.txt,low,other,global,global
meta_616.txt,medium,other,global,hungary
meta_617.txt,low,other,global,global
meta_618.txt,high,modeling,global,global
meta_619.txt,medium,vaccine,europe,italy
meta_62.txt,low,other,global,malaysia
meta_620.txt,low,modeling,global,global
meta_621.txt,high,other,global,global
meta_622.txt,low,modeling,global,global
meta_623.txt,low,modeling,global,global
meta_624.txt,low,other,global,global
meta_625.txt,high,other,global,global
meta_626.txt,high,other,global,global
meta_627.txt,high,other,global,global
meta_628.txt,low,other,global,haiti
meta_629.txt,low,modeling,asia,china
meta_63.txt,low,other,global,global
meta_630.txt,medium,vaccine,global,global
meta_631.txt,low,other,global,global
meta_632.txt,low,modeling,global,global
meta_633.txt,medium,other,global,global
meta_634.txt,high,other,europe,germany
meta_635.txt,medium,other,global,global
meta_636.txt,medium,diagnostic,global,global
meta_637.txt,low,modeling,global,global
meta_638.txt,medium,other,global,global
meta_639.txt,medium,modeling,global,global
meta_64.txt,high,modeling,global,global
meta_640.txt,low,other,asia,china
meta_641.txt,high,modeling,global,global
meta_642.txt,medium,other,global,global
meta_643.txt,medium,other,global,global
meta_644.txt,low,other,europe,germany
meta_645.txt,high,other,global,global
meta_646.txt,low,other,global,global
meta_647.txt,low,other,global,global
meta_648.txt,low,other,global,global
meta_649.txt,low,diagnostic,global,global
meta_65.txt,low,modeling,global,global
meta_650.txt,high,modeling,asia,china
meta_651.txt,high,other,global,global
meta_652.txt,medium,other,global,global
meta_653.txt,high,other,global,netherlands
meta_654.txt,low,other,global,global
meta_655.txt,medium,other,global,global
meta_656.txt,high,modeling,global,global
meta_657.txt,high,other,global,global
meta_658.txt,low,other,global,global
meta_659.txt,high,other,global,global
meta_66.txt,low,diagnostic,global,global
meta_660.txt,low,other,global,global
meta_661.txt,medium,other,global,global
meta_662.txt,low,other,global,global
meta_663.txt,high,other,global,global
meta_664.txt,low,other,global,global
meta_665.txt,low,vaccine,global,global
meta_666.txt,low,diagnostic,global,global
meta_667.txt,high,vaccine,global,global
meta_668.txt,medium,other,asia,china
meta_669.txt,medium,diagnostic,global,global
meta_67.txt,low,other,global,global
meta_670.txt,high,modeling,global,global
meta_671.txt,high,other,australia,australia
meta_672.txt,low,other,global,global
meta_673.txt,high,other,north america,canada
meta_674.txt,medium,other,global,global
meta_675.txt,medium,other,asia,china
meta_676.txt,medium,other,global,global
meta_677.txt,high,other,global,global
meta_678.txt,high,other,global,global
meta_679.txt,medium,diagnostic,global,global
meta_68.txt,medium,modeling,global,global
meta_680.txt,high,diagnostic,europe,italy
meta_681.txt,high,other,global,malaysia
